"MageProfis - Google Maps","MageProfis - Google Maps"
"Renders Google Map at a specified point","Stellt eine GoogleMap an einem ausgewählten Punkt dar"
"Latitude","Latitude"
"Longitude","Longitude"
"Map","Karte"
"Move pin to desired location","Pin auf gewünschte Position verschieben"
"Move pin to desired location and set zoom level","Pin verschieben und Zoom-Stufe festlegen"
"Zoom","Zoom"
"Content","Text"
"Optional (html) content","HTML-Inhalt, optional"
"General","Allgemein"
"API Key","API Key"
